Date,AAPL,MSFT,YHOO,DB,GLD
2010-01-04,28.588685,26.593966,17.1,61.392277,109.800003
2010-01-05,28.638111,26.602557,17.23,62.565957,109.699997
2010-01-06,28.182584,26.439299,17.17,61.484485,111.510002
2010-01-07,28.130486,26.164338,16.700001,62.180321,110.82
2010-01-08,28.317506,26.344781,16.700001,64.427088,111.370003
2010-01-11,28.067701,26.009671,16.74,64.066608,112.849998
2010-01-12,27.748431,25.83782,16.68,62.121635,110.489998
2010-01-13,28.139837,26.078412,16.9,61.786286,111.540001
2010-01-14,27.976862,26.602557,17.120001,61.450956,112.029999
2010-01-15,27.509312,26.516632,16.82,58.458053,110.860001
2010-01-19,28.726277,26.722854,16.75,59.288018,111.519997
2010-01-20,28.284109,26.284633,16.379999,57.577781,108.940002
2010-01-21,27.795185,25.786265,16.200001,54.995672,107.370003
2010-01-22,26.416581,24.884045,15.88,52.094983,107.169998
2010-01-25,27.127257,25.193378,15.86,53.553713,107.480003
2010-01-26,27.510648,25.348044,15.99,51.801558,107.559998
2010-01-27,27.769805,25.494118,15.98,52.489012,106.529999
2010-01-28,26.622302,25.055897,15.44,51.550064,106.480003
2010-01-29,25.656478,24.213827,15.01,51.114115,105.959999
2010-02-01,26.013151,24.411455,15.05,53.19322,108.349998
2010-02-02,26.164103,24.454417,15.17,54.828,109.129997
2010-02-03,26.614287,24.600491,15.46,53.721381,108.699997
2010-02-04,25.655142,23.92168,15.01,49.965581,104.370003
2010-02-05,26.110669,24.076346,15.19,49.915281,104.68
2010-02-08,25.931664,23.818568,14.99,48.540384,104.040001
2010-02-09,26.208187,24.067753,15.07,52.162055,105.410004
2010-02-10,26.065251,24.050568,14.8,52.597991,105.120003
2010-02-11,26.539479,24.162272,15.22,51.80994,107.129997
2010-02-12,26.76791,23.999013,15.17,50.778775,107.040001
2010-02-16,27.171339,24.473814,15.41,53.469877,109.620003
2010-02-17,27.057793,24.681,15.44,53.184838,109.25
2010-02-18,27.108555,25.009043,15.54,54.308228,109.980003
2010-02-19,26.940236,24.836389,15.58,54.433978,109.470001
2010-02-22,26.773254,24.801858,15.49,54.408825,109.07
2010-02-23,26.324406,24.456548,15.38,51.986001,107.889999
2010-02-24,26.805315,24.71553,15.59,52.883034,107.360001
2010-02-25,26.984321,24.689633,15.24,52.53093,108.309998
2010-02-26,27.334314,24.750062,15.31,53.235135,109.43
2010-03-01,27.918085,25.052208,15.79,53.914196,109.43
2010-03-02,27.899382,24.568773,15.73,54.358528,111.019997
2010-03-03,27.963503,24.568773,15.57,55.800487,111.629997
2010-03-04,28.147852,24.71553,15.81,56.588537,110.830002
2010-03-05,29.248599,24.681,16.059999,58.189782,110.809998
2010-03-08,29.265964,24.71553,16.52,58.17301,109.879997
2010-03-09,29.792293,24.862286,16.530001,58.684404,109.720001
2010-03-10,30.035417,25.009043,16.790001,59.24609,108.470001
2010-03-11,30.123586,25.190331,16.530001,59.992226,108.599998
2010-03-12,30.27053,25.268026,16.32,60.729977,107.949997
2010-03-15,29.901832,25.285292,16.459999,60.512005,108.360001
2010-03-16,29.98332,25.354354,16.360001,62.5408,110.400002
2010-03-17,29.939237,25.578804,16.5,63.144422,109.589996
2010-03-18,30.010037,25.561539,16.559999,62.121635,110.339996
2010-03-19,29.689431,25.544274,16.440001,61.501256,108.279999
2010-03-22,30.023396,25.552907,16.34,61.543171,107.75
2010-03-23,30.505639,25.794622,16.030001,62.096485,108.32
2010-03-24,30.640562,25.59607,16.09,61.786286,106.300003
2010-03-25,30.277208,25.906849,16.32,62.783929,106.779999
2010-03-26,30.844948,25.604703,16.540001,64.955252,108.589996
2010-03-29,31.04399,25.544274,16.559999,65.919346,108.75
2010-03-30,31.506196,25.699663,16.610001,65.40796,107.970001
2010-03-31,31.392651,25.285292,16.530001,64.443866,108.949997
2010-04-01,31.522227,25.173066,16.290001,65.768453,110.260002
2010-04-05,31.858863,25.268026,16.51,66.455896,110.889999
2010-04-06,31.99913,25.311189,16.92,65.651081,111.029999
2010-04-07,32.14073,25.337088,16.870001,64.016308,112.489998
2010-04-08,32.0539,25.829154,17.35,63.756422,112.650002
2010-04-09,32.299696,26.191729,17.52,65.600781,113.639999
2010-04-12,32.36649,26.174463,17.639999,66.087025,113.010002
2010-04-13,32.385193,26.28669,18.18,65.952882,112.690002
2010-04-14,32.820681,26.6061,18.379999,68.392484,113.029999
2010-04-15,33.252164,26.649265,18.969999,68.509848,113.650002
2010-04-16,33.049113,26.476609,18.17,62.180321,111.239998
2010-04-19,33.00503,26.796021,18.389999,61.677306,111.150002
2010-04-20,32.673737,27.072269,18.379999,62.674943,111.459999
2010-04-21,34.628097,27.04637,17.450001,62.104864,112.309998
2010-04-22,35.596592,27.098166,17.719999,60.889256,111.839996
2010-04-23,36.179025,26.726958,17.639999,60.444934,113.190002
2010-04-26,36.001358,26.85645,17.389999,61.333585,112.75
2010-04-27,35.004807,26.631999,16.92,57.594546,114.629997
2010-04-28,34.946031,26.683795,16.75,58.424518,114.309998
2010-04-29,35.886475,26.76149,16.969999,59.799412,114.279999
2010-04-30,34.877903,26.364384,16.530001,57.577781,115.360001
2010-05-03,35.580562,26.640632,16.950001,58.12271,115.730003
2010-05-04,34.555959,26.010441,16.32,55.372929,114.870003
2010-05-05,34.196614,25.768725,16.49,53.662702,115.089996
2010-05-06,32.895488,25.017676,15.92,49.529641,118.489998
2010-05-07,31.507534,24.352955,15.29,49.588324,118.269997
2010-05-10,33.929443,24.983146,16.33,54.953754,117.57
2010-05-11,34.267414,24.931348,16.41,53.863899,120.660004
2010-05-12,35.011488,25.414783,16.469999,54.517814,121.400002
2010-05-13,34.513214,25.242127,16.139999,52.723745,120.559998
2010-05-14,33.906732,24.974513,16.389999,51.030282,120.370003
2010-05-17,33.960167,24.983146,16.27,51.340475,119.360001
2010-05-18,33.711699,24.801039,16.030001,49.579941,119.489998
2010-05-19,33.174683,24.488858,15.79,50.68656,116.629997
2010-05-20,31.761345,23.508958,15.1,49.043395,115.839996
2010-05-21,32.370496,23.274821,15.48,50.4602,115.220001
2010-05-24,32.963616,22.780535,15.54,48.615837,116.839996
2010-05-25,32.757896,22.607101,15.31,49.286516,117.360001
2010-05-26,32.609615,21.687902,15.45,47.95354,118.470001
2010-05-27,33.843947,22.546399,15.69,52.002765,118.690002
2010-05-28,34.315506,22.372965,15.34,50.551641,118.879997
2010-06-01,34.843169,22.45101,15.02,49.041122,119.910004
2010-06-02,35.259956,22.945296,15.18,50.466782,119.779999
2010-06-03,35.149079,23.292165,15.43,50.161285,117.959999
2010-06-04,34.192608,22.364294,15.0,46.95354,119.190002
2010-06-07,33.522007,21.93071,14.94,46.070993,121.489998
2010-06-08,33.306934,21.774619,14.79,47.292984,121.0
2010-06-09,32.488054,21.497125,14.69,47.080833,120.559998
2010-06-10,33.464565,21.67923,15.1,48.95626,118.970001
2010-06-11,33.865321,22.251562,15.29,49.720009,120.010002
2010-06-14,33.968182,22.112815,15.17,49.541801,119.599998
2010-06-15,34.690882,23.049357,15.65,52.469499,120.989998
2010-06-16,35.700788,22.823893,15.49,52.299779,120.330002
2010-06-17,36.317954,22.867253,15.6,52.842889,121.900002
2010-06-18,36.611846,22.927954,15.54,52.596792,122.830002
2010-06-21,36.09086,22.503041,15.21,52.12157,120.389999
2010-06-22,36.582456,22.346951,15.09,50.874118,121.449997
2010-06-23,36.197728,21.948052,15.23,50.942,120.949997
2010-06-24,35.934563,21.67923,14.83,49.601202,121.300003
2010-06-25,35.627316,21.271661,14.81,50.059453,122.760002
2010-06-28,35.841055,21.080883,14.73,50.076423,121.089996
2010-06-29,34.22066,20.213714,14.04,47.488169,121.269997
2010-06-30,33.600822,19.953564,13.84,47.657892,121.68
2010-07-01,33.193385,20.083639,14.09,48.557416,117.040001
2010-07-02,32.987662,20.179028,14.07,47.94641,118.489998
2010-07-06,33.213422,20.65597,14.13,48.676224,116.510002
2010-07-07,34.554625,21.072211,14.4,51.782127,117.730003
2010-07-08,34.477143,21.1676,14.6,53.275679,117.209999
2010-07-09,34.681529,21.046197,14.89,53.436918,118.360001
2010-07-12,34.370276,21.531811,14.94,52.817428,117.339996
2010-07-13,33.636889,21.791961,15.52,54.234603,118.360001
2010-07-14,33.761125,22.060785,15.37,54.404327,118.300003
2010-07-15,33.590135,22.121487,15.37,54.217637,118.230003
2010-07-16,33.383078,21.583841,14.9,51.960335,116.669998
2010-07-19,32.805988,21.878679,15.1,52.12157,115.730003
2010-07-20,33.648914,22.095471,15.2,52.520415,116.650002
2010-07-21,33.962839,21.783291,13.91,51.272963,115.849998
2010-07-22,34.601379,22.407652,13.88,54.540101,116.860001
2010-07-23,34.724277,22.381637,13.99,54.769232,116.089996
2010-07-26,34.636112,22.633116,14.15,56.160956,115.519997
2010-07-27,35.277324,22.685146,13.95,57.756337,113.510002
2010-07-28,34.860534,22.503041,13.87,58.435225,113.779999
2010-07-29,34.479815,22.572415,13.76,59.419606,114.290001
2010-07-30,34.364932,22.381637,13.88,59.606306,115.489998
2010-08-02,34.979426,22.832565,14.0,61.736312,115.540001
2010-08-03,34.990114,22.685146,13.94,62.720701,115.989998
2010-08-04,35.13038,22.312263,14.18,62.517031,116.720001
2010-08-05,34.95939,22.000083,14.16,62.958317,116.980003
2010-08-06,34.744317,22.156172,14.34,63.212888,117.839996
2010-08-09,34.966068,22.208204,14.4,62.975286,117.400002
2010-08-10,34.653477,21.739932,14.35,61.965433,117.730003
2010-08-11,33.421817,21.557827,13.87,58.384309,117.339996
2010-08-12,33.635555,21.236974,13.85,57.696933,118.769997
2010-08-13,33.276207,21.158928,13.83,56.96713,118.739998
2010-08-16,33.081174,21.245645,13.79,56.721029,119.730003
2010-08-17,33.659601,21.542055,13.94,57.535698,119.75
2010-08-18,33.806545,21.637953,13.99,57.374462,120.220001
2010-08-19,33.380406,21.306672,13.85,55.736651,120.389999
2010-08-20,33.348345,21.123594,13.79,55.108676,119.970001
2010-08-23,32.835374,21.167185,13.65,54.752255,119.779999
2010-08-24,32.051228,20.957954,13.4,53.929105,120.360001
2010-08-25,32.44664,21.010261,13.26,54.056398,121.360001
2010-08-26,32.097982,20.766158,13.21,53.292649,120.959999
2010-08-27,32.276987,20.862056,13.43,54.412818,121.010002
2010-08-30,32.394542,20.609235,13.18,53.055043,120.910004
2010-08-31,32.474695,20.461029,13.11,53.190817,122.080002
2010-09-01,33.440519,20.835902,13.37,55.066245,121.690002
2010-09-02,33.686315,20.870774,13.51,53.9376,122.290001
2010-09-03,34.567984,21.175903,13.62,54.828632,121.860001
2010-09-07,34.439742,20.888209,13.53,53.055043,122.699997
