Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ALO.PA,ALU.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,EDF.PA,EI.PA,EN.PA,FP.PA,FR.PA,GLE.PA,GSZ.PA,KER.PA,LG.PA,LR.PA,MC.PA,ML.PA,MT.PA,OR.PA,ORA.PA,PUB.PA,RI.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SU.PA,TEC.PA,UG.PA,UL.PA,VIE.PA,VIV.PA,^FCHI
2012-02-28,23.4611,4.4521,72.3104,25.485,29.968,1.894,45.7406,31.9904,15.816,29.175,9.78352,32.82946,14.887,56.4159,18.23,33.0457,36.657,22.6585,14.794,114.878,32.3714,25.425,114.862,46.1525,18.114,79.459,8.666,38.363,71.8038,35.671,22.65644,48.246,30.489,44.2136,75.81611,11.0945,120.1574,7.177,12.397,3453.98999
2012-02-29,23.7263,4.5515,72.1108,25.555,30.244,1.882,45.8128,32.0079,16.266,29.871,9.86913,33.02379,14.999,56.4726,17.849,33.08904,36.213,22.7241,14.636,115.511,32.4971,25.406,114.635,45.4068,18.114,79.431,8.568,38.269,72.2036,35.368,23.14877,47.91,30.613,44.6248,74.51552,10.8599,120.5314,7.327,12.241,3452.449951
2012-03-01,24.0588,4.6424,73.1977,26.291,30.276,1.805,46.2819,32.6369,16.309,29.885,10.05257,33.37021,15.211,57.6538,17.789,33.55397,36.863,23.4832,14.847,116.417,33.1161,25.285,116.904,45.7402,18.114,81.176,8.591,38.87,72.9381,36.058,23.71012,49.325,31.099,45.7533,76.85294,10.4412,122.5264,8.416,11.011,3499.72998
2012-03-02,24.1442,4.6822,72.6432,25.916,30.332,1.829,45.9752,33.1262,16.313,30.3,10.10149,33.29839,15.708,57.4459,17.752,33.45941,37.293,23.7971,14.734,116.055,33.3674,25.527,117.222,45.5823,18.114,81.352,8.553,38.931,72.3988,35.88,23.6457,49.507,31.236,45.8058,76.24358,10.4881,122.7758,8.815,10.905,3501.169922
2012-03-05,23.8341,4.5923,73.1533,25.747,30.103,1.77,46.6699,32.5365,16.162,30.034,10.04442,33.36599,15.544,58.3248,17.74,33.37273,36.401,23.3754,14.828,115.466,32.7856,25.499,116.723,45.363,18.114,82.094,8.512,38.992,73.8492,35.529,23.94938,49.731,30.587,44.9485,75.07941,10.2535,122.3602,8.731,10.745,3487.540039
2012-03-06,22.504,4.2675,70.6099,24.791,28.228,1.714,45.6323,30.9289,15.332,28.927,9.55932,31.90005,14.935,57.7861,17.352,32.78959,34.428,21.5528,14.52,112.298,31.2031,24.502,113.092,43.6567,18.114,79.654,8.303,37.817,72.0455,33.842,22.78067,48.505,28.861,42.4115,72.05077,9.89624,119.2014,8.309,10.286,3362.560059
2012-03-07,22.7691,4.3271,70.9426,25.161,28.537,1.766,46.5075,31.1604,15.229,29.054,9.64492,32.4408,14.638,57.7483,17.583,32.69503,34.966,22.2837,14.636,114.697,31.5196,24.772,114.317,44.1611,18.114,80.508,8.228,38.227,72.529,34.461,22.82208,48.859,29.282,42.7177,72.94208,9.53533,120.2405,8.424,10.514,3392.330078
2012-03-08,23.5465,4.526,72.4065,27.875,30.052,1.811,47.2563,32.3268,15.311,29.799,9.76314,33.11251,14.787,58.6461,17.789,33.14814,35.778,23.1177,14.899,116.779,32.3481,25.322,117.993,45.7402,18.114,82.465,8.363,39.313,74.1003,36.668,23.57669,49.627,30.064,44.616,77.06213,9.86348,124.3552,8.775,10.662,3478.360107
2012-03-09,23.6499,4.526,72.7171,28.175,29.851,1.793,47.1661,32.2787,16.119,30.183,9.75091,33.25192,14.799,59.8178,17.856,33.26635,36.876,22.8787,14.828,117.63,32.6646,25.322,117.721,45.6788,18.114,82.103,8.34,39.131,74.0631,37.144,23.91718,50.093,30.283,44.1611,77.22584,9.66911,123.9811,9.019,10.381,3487.47998
2012-03-12,24.1666,4.4502,73.072,27.837,29.692,1.76,47.6352,31.7414,16.067,29.975,9.73461,33.5223,14.65,59.7044,17.796,33.1442,37.204,22.4805,14.659,119.721,32.269,25.667,120.217,47.5035,18.114,82.79,8.228,39.001,75.281,37.028,23.74693,50.163,30.179,44.1874,76.71651,9.7725,124.8539,9.17,10.73,3490.060059
